country	continent	year	pop	lifeExp	gdpPercap	color
Ghana	Africa	1962	7355248	46.452	1190.041118	#AF5606
Cuba	Americas	1962	7254373	65.246	5180.75591	#E04430
Iraq	Asia	1962	7240260	51.457	8341.737815	#A37DB3
Austria	Europe	1962	7129864	69.54	10750.72111	#8AC34F
Yemen, Rep.	Asia	1962	6120081	35.18	825.6232006	#A883B8
Cambodia	Asia	1962	6083619	43.415	496.9136476	#AD8ABD
Cameroon	Africa	1962	5793633	42.643	1399.607441	#B35806
Madagascar	Africa	1962	5703324	40.848	1643.38711	#B75C07
Switzerland	Europe	1962	5666000	71.32	20431.0927	#9ACD62
Saudi Arabia	Asia	1962	4943029	45.914	11626.41975	#B291C1
Burkina Faso	Africa	1962	4919632	37.814	722.5120206	#BA5F08
Syria	Asia	1962	4834621	50.305	2193.037133	#B797C6
Angola	Africa	1962	4826015	34	4269.276742	#BE6209
Mali	Africa	1962	4690372	36.936	496.1743428	#C2650A
Ecuador	Americas	1962	4681707	54.64	4086.114078	#EA5839
Denmark	Europe	1962	4646899	72.35	13583.31351	#A2D26B
Finland	Europe	1962	4491443	68.75	9371.842561	#AAD875
Tunisia	Africa	1962	4286552	49.579	1660.30321	#C5690B
Zimbabwe	Africa	1962	4277736	52.358	527.2721818	#CC6F0D
Slovak Republic	Europe	1962	4237384	70.33	7481.107598	#B9E188
Guatemala	Americas	1962	4208858	46.954	2750.364446	#F46D43
Croatia	Europe	1962	4076557	67.13	5477.890018	#B2DD7E
Niger	Africa	1962	4076008	39.487	997.7661127	#C96C0C
Haiti	Americas	1962	3880130	43.59	1796.589032	#EF623E
Cote d'Ivoire	Africa	1962	3832408	44.93	1728.869428	#D0730F
Norway	Europe	1962	3638919	73.47	13450.40151	#BFE492
Malawi	Africa	1962	3628608	38.41	427.9010856	#D37610
Bolivia	Americas	1962	3593918	43.428	2180.972546	#F57748
Dominican Republic	Americas	1962	3453434	53.459	1662.137359	#F7824D
Senegal	Africa	1962	3430243	41.454	1654.988723	#D77911
Zambia	Africa	1962	3421000	46.023	1452.725766	#DE8013
Bosnia and Herzegovina	Europe	1962	3349000	61.93	1709.683679	#CCE9A7
Hong Kong, China	Asia	1962	3305200	67.65	4692.648272	#BC9ECA
Chad	Africa	1962	3150417	41.716	1389.817618	#DA7D12
Guinea	Africa	1962	3140003	35.753	686.3736739	#E18417
Somalia	Africa	1962	3080153	36.981	1369.488336	#E58C23
Rwanda	Africa	1962	3051242	43	597.4730727	#E3881D
Burundi	Africa	1962	2961915	42.045	355.2032273	#E79029
Ireland	Europe	1962	2830000	70.29	6631.597314	#C6E79C
El Salvador	Americas	1962	2747687	52.307	3776.803627	#FBA35B
Uruguay	Americas	1962	2598466	68.253	5603.357717	#F88D51
New Zealand	Oceania	1962	2488550	71.24	13175.678	#4575B4
Sierra Leone	Africa	1962	2467895	32.767	1116.639877	#EA952F
Puerto Rico	Americas	1962	2448046	69.62	5108.34463	#FA9856
Israel	Asia	1962	2310904	69.39	7105.630706	#C2A5CF
Benin	Africa	1962	2151895	42.618	949.4990641	#EC9936
Honduras	Americas	1962	2090162	48.041	2291.156835	#FDB668
Paraguay	Americas	1962	2009813	64.361	2148.027146	#FDAE61
Lebanon	Asia	1962	1886848	62.094	5714.560611	#C6AAD2
Singapore	Asia	1962	1750200	65.798	3674.735572	#CBB0D5
Albania	Europe	1962	1728137	64.82	2312.888958	#D9EFBB
Eritrea	Africa	1962	1666618	40.158	380.9958433	#EE9D3C
Jamaica	Americas	1962	1665128	65.61	5246.107524	#FDBE70
Nicaragua	Americas	1962	1590597	48.632	3634.364406	#FDC778
Slovenia	Europe	1962	1582962	69.15	7402.303395	#D2ECB1
Togo	Africa	1962	1528098	43.922	1067.53481	#F3A548
Central African Republic	Africa	1962	1523478	39.475	1193.068753	#F1A142
Libya	Africa	1962	1441863	47.808	6757.030816	#F7AE55
Costa Rica	Americas	1962	1345187	62.842	3460.937025	#FDD788
Panama	Americas	1962	1215725	61.817	3536.540301	#FDCF80
Mauritania	Africa	1962	1146757	44.248	1055.896036	#F5AA4E
West Bank and Gaza	Asia	1962	1133134	48.127	2198.956312	#CFB6D8
Liberia	Africa	1962	1112796	40.502	634.1951625	#FAB25B
Congo, Rep.	Africa	1962	1047924	48.435	2464.783157	#FCB661
Mongolia	Asia	1962	1010280	48.251	1056.353958	#D4BCDB
Jordan	Asia	1962	933559	48.126	2348.009158	#D9C2DE
Lesotho	Africa	1962	893143	47.747	411.8006266	#FDBA67
Trinidad and Tobago	Americas	1962	887498	64.9	4997.523971	#FEE090
Mauritius	Africa	1962	701016	60.246	2529.067487	#FDC074
Oman	Asia	1962	628164	43.165	2924.638113	#DDC8E1
Guinea-Bissau	Africa	1962	627820	34.488	522.0343725	#FDBD6E
Namibia	Africa	1962	621392	48.386	3173.215595	#FDC37B
Botswana	Africa	1962	512764	51.52	983.6539764	#FDC681
Montenegro	Europe	1962	474528	63.728	4649.593785	#DFF2C5
Gabon	Africa	1962	455661	40.489	6631.459222	#FDCA88
Gambia	Africa	1962	374020	33.896	599.650276	#FDD095
Swaziland	Africa	1962	370006	44.992	1856.182125	#FDCD8E
Reunion	Africa	1962	358900	57.666	3173.72334	#FDD39B
Kuwait	Asia	1962	358266	60.47	95458.11176	#E2CEE4
Equatorial Guinea	Africa	1962	249220	37.485	582.8419714	#FDD6A2
Comoros	Africa	1962	191689	44.467	1406.648278	#FDD9A8
Iceland	Europe	1962	182053	73.68	10350.15906	#E6F5D0
Bahrain	Asia	1962	171863	56.923	12753.27514	#E7D4E8
Djibouti	Africa	1962	89898	39.693	3020.989263	#FDDCAF
Sao Tome and Principe	Africa	1962	65345	51.893	1071.551119	#FEE0B6
China	Asia	1967	754550000	58.38112	612.7056934	#40004B
India	Asia	1967	5.06e+08	47.193	700.7706107	#460552
United States	Americas	1967	198712000	70.76	19530.36557	#A50026
Indonesia	Asia	1967	109343000	45.964	762.4317721	#540F60
Japan	Asia	1967	100825279	71.43	9847.788607	#4D0A59
Brazil	Americas	1967	88049823	57.632	3429.864357	#AD0826
Germany	Europe	1967	76368453	70.8	14745.62561	#276419
Bangladesh	Asia	1967	62821884	43.453	721.1860862	#5B1567
Pakistan	Asia	1967	60641899	49.8	942.4082588	#611A6D
United Kingdom	Europe	1967	54959000	71.36	14142.85089	#2C6A1A
Italy	Europe	1967	52667100	71.06	10022.40131	#31701B
France	Europe	1967	49569000	71.55	12999.91766	#36771C
Mexico	Americas	1967	47995559	60.11	5754.733883	#B51026
Nigeria	Africa	1967	47287752	41.04	1014.514104	#7F3B08
Vietnam	Asia	1967	39463910	47.838	637.1232887	#681F75
Philippines	Asia	1967	35356600	56.393	1814.12743	#6F247B
Thailand	Asia	1967	34024249	58.285	1295.46066	#762A83
Turkey	Europe	1967	33411317	54.336	2826.356387	#468A1F
Spain	Europe	1967	32850275	71.44	7993.512294	#3B7D1D
Poland	Europe	1967	31785378	69.61	6557.152776	#41831E
Egypt	Africa	1967	31681188	49.293	1814.880728	#833D07
Korea, Rep.	Asia	1967	30131000	57.716	2029.228142	#7A3288
Ethiopia	Africa	1967	27860297	42.115	516.1186438	#873F07
Iran	Asia	1967	26538000	52.469	5906.731805	#834492
Myanmar	Asia	1967	25870271	49.379	349	#7E3B8C
Argentina	Americas	1967	22934225	65.634	8052.953021	#BE1826
South Africa	Africa	1967	20997321	51.927	7114.477971	#8B4107
Canada	Americas	1967	20819767	72.13	16076.58803	#C62026
Congo, Dem. Rep.	Africa	1967	19941073	44.056	861.5932424	#8F4407
Colombia	Americas	1967	19764027	59.963	2678.729839	#CE2726
Romania	Europe	1967	19284814	66.8	6470.866545	#4B9020
Morocco	Africa	1967	14770296	50.335	1711.04477	#934607
Taiwan	Asia	1967	13648692	67.5	2643.858681	#905EA1
Algeria	Africa	1967	12760499	51.407	3246.991771	#974807
Sudan	Africa	1967	12716129	42.858	1687.997641	#9B4A06
Korea, Dem. Rep.	Asia	1967	12617009	59.942	2143.540609	#8B559B
Tanzania	Africa	1967	12607312	45.757	848.2186575	#9F4D06
Netherlands	Europe	1967	12596822	73.82	15363.25136	#529624
Peru	Americas	1967	12132200	51.445	5788.09333	#D73027
Australia	Oceania	1967	11872264	71.1	14526.12465	#313695
Sri Lanka	Asia	1967	11737396	64.266	1135.514326	#9970AB
Afghanistan	Asia	1967	11537966	34.02	836.1971382	#9467A5
Nepal	Asia	1967	11261690	41.472	676.4422254	#874D96
Hungary	Europe	1967	10223422	69.5	9326.64467	#599C28
Kenya	Africa	1967	10191512	50.654	1056.736457	#A34F06
Malaysia	Asia	1967	10154878	59.371	2277.742396	#9E76AF
Czech Republic	Europe	1967	9835109	70.38	11399.44489	#5FA12D
Venezuela	Americas	1967	9709552	63.479	9541.474188	#E54E35
Belgium	Europe	1967	9556500	70.94	13149.04119	#66A731
Portugal	Europe	1967	9103000	66.6	6361.517993	#6DAD35
Uganda	Africa	1967	8900294	48.051	908.9185217	#AB5406
Chile	Americas	1967	8858908	60.523	5106.654313	#DB3A2B
Greece	Europe	1967	8716441	71	8513.097016	#74B33A
Mozambique	Africa	1967	8680909	38.113	566.6691539	#A75106
Iraq	Asia	1967	8519282	54.459	8931.459811	#A37DB3
Ghana	Africa	1967	8490213	48.072	1125.69716	#AF5606
Bulgaria	Europe	1967	8310226	70.42	5577.0028	#7BB93E
Cuba	Americas	1967	8139332	68.29	5690.268015	#E04430
Serbia	Europe	1967	7971222	66.914	7991.707066	#92C858
Sweden	Europe	1967	7867931	74.16	15258.29697	#82BE45
Austria	Europe	1967	7376998	70.14	12834.6024	#8AC34F
Cambodia	Asia	1967	6960067	45.415	523.4323142	#AD8ABD
Yemen, Rep.	Asia	1967	6740785	36.984	862.4421463	#A883B8
Cameroon	Africa	1967	6335506	44.799	1508.453148	#B35806
Madagascar	Africa	1967	6334556	42.881	1634.047282	#B75C07
Switzerland	Europe	1967	6063000	72.77	22966.14432	#9ACD62
Syria	Asia	1967	5680812	53.655	1881.923632	#B797C6
Saudi Arabia	Asia	1967	5618198	49.901	16903.04886	#B291C1
Ecuador	Americas	1967	5432424	56.678	4579.074215	#EA5839
Angola	Africa	1967	5247469	35.985	5522.776375	#BE6209
Mali	Africa	1967	5212416	38.487	545.0098873	#C2650A
Burkina Faso	Africa	1967	5127935	40.697	794.8265597	#BA5F08
Zimbabwe	Africa	1967	4995432	53.995	569.7950712	#CC6F0D
Denmark	Europe	1967	4838800	72.96	15937.21123	#A2D26B
Tunisia	Africa	1967	4786986	52.053	1932.360167	#C5690B
Cote d'Ivoire	Africa	1967	4744870	47.35	2052.050473	#D0730F
Guatemala	Americas	1967	4690773	50.016	3242.531147	#F46D43
Finland	Europe	1967	4605744	69.83	10921.63626	#AAD875
Niger	Africa	1967	4534062	40.118	1054.384891	#C96C0C
Slovak Republic	Europe	1967	4442238	70.98	8412.902397	#B9E188
Haiti	Americas	1967	4318137	46.243	1452.057666	#EF623E
Croatia	Europe	1967	4174366	68.5	6960.297861	#B2DD7E
Malawi	Africa	1967	4147252	39.487	495.5147806	#D37610
Dominican Republic	Americas	1967	4049146	56.751	1653.723003	#F7824D
Bolivia	Americas	1967	4040665	45.032	2586.886053	#F57748
Senegal	Africa	1967	3965841	43.563	1612.404632	#D77911
Zambia	Africa	1967	3900000	47.768	1777.077318	#DE8013
Norway	Europe	1967	3786019	74.08	16361.87647	#BFE492
Hong Kong, China	Asia	1967	3722800	70	6197.962814	#BC9ECA
Bosnia and Herzegovina	Europe	1967	3585000	64.79	2172.352423	#CCE9A7
Chad	Africa	1967	3495967	43.601	1196.810565	#DA7D12
Guinea	Africa	1967	3451418	37.197	708.7595409	#E18417
Rwanda	Africa	1967	3451079	44.1	510.9637142	#E3881D
Somalia	Africa	1967	3428839	38.977	1284.73318	#E58C23
Burundi	Africa	1967	3330989	43.548	412.9775136	#E79029
El Salvador	Americas	1967	3232927	55.855	4358.595393	#FBA35B
Ireland	Europe	1967	2900100	71.08	7655.568963	#C6E79C
Uruguay	Americas	1967	2748579	68.468	5444.61962	#F88D51
New Zealand	Oceania	1967	2728150	71.52	14463.91893	#4575B4
Israel	Asia	1967	2693585	70.75	8393.741404	#C2A5CF
Sierra Leone	Africa	1967	2662190	34.113	1206.043465	#EA952F
Puerto Rico	Americas	1967	2648961	71.1	6929.277714	#FA9856
Honduras	Americas	1967	2500689	50.924	2538.269358	#FDB668
Benin	Africa	1967	2427334	44.885	1035.831411	#EC9936
Paraguay	Americas	1967	2287985	64.951	2299.376311	#FDAE61
Lebanon	Asia	1967	2186894	63.87	6006.983042	#C6AAD2
Albania	Europe	1967	1984060	66.22	2760.196931	#D9EFBB
Singapore	Asia	1967	1977600	67.946	4977.41854	#CBB0D5
Nicaragua	Americas	1967	1865490	51.884	4643.393534	#FDC778
Jamaica	Americas	1967	1861096	67.51	6124.703451	#FDBE70
Eritrea	Africa	1967	1820319	42.189	468.7949699	#EE9D3C
Libya	Africa	1967	1759224	50.227	18772.75169	#F7AE55
Togo	Africa	1967	1735550	46.769	1477.59676	#F3A548
Central African Republic	Africa	1967	1733638	41.478	1136.056615	#F1A142
Slovenia	Europe	1967	1646912	69.18	9405.489397	#D2ECB1
Costa Rica	Americas	1967	1588717	65.424	4161.727834	#FDD788
Panama	Americas	1967	1405486	64.071	4421.009084	#FDCF80
Liberia	Africa	1967	1279406	41.536	713.6036483	#FAB25B
Jordan	Asia	1967	1255058	51.629	2741.796252	#D9C2DE
Mauritania	Africa	1967	1230542	46.289	1421.145193	#F5AA4E
Congo, Rep.	Africa	1967	1179760	52.04	2677.939642	#FCB661
Mongolia	Asia	1967	1149500	51.253	1226.04113	#D4BCDB
West Bank and Gaza	Asia	1967	1142636	51.631	2649.715007	#CFB6D8
Lesotho	Africa	1967	996380	48.492	498.6390265	#FDBA67
Trinidad and Tobago	Americas	1967	960155	65.4	5621.368472	#FEE090
Mauritius	Africa	1967	789309	61.557	2475.387562	#FDC074
Oman	Asia	1967	714775	46.988	4720.942687	#DDC8E1
Namibia	Africa	1967	706640	51.159	3793.694753	#FDC37B
Guinea-Bissau	Africa	1967	601287	35.492	715.5806402	#FDBD6E
Kuwait	Asia	1967	575003	64.624	80894.88326	#E2CEE4
Botswana	Africa	1967	553541	53.298	1214.709294	#FDC681
Montenegro	Europe	1967	501035	67.178	5907.850937	#DFF2C5
Gabon	Africa	1967	489004	44.598	8358.761987	#FDCA88
Gambia	Africa	1967	439593	35.857	734.7829124	#FDD095
Swaziland	Africa	1967	420690	46.633	2613.101665	#FDCD8E
Reunion	Africa	1967	414024	60.542	4021.175739	#FDD39B
Equatorial Guinea	Africa	1967	259864	38.987	915.5960025	#FDD6A2
Comoros	Africa	1967	217378	46.472	1876.029643	#FDD9A8
Bahrain	Asia	1967	202182	59.923	14804.6727	#E7D4E8
Iceland	Europe	1967	198676	73.73	13319.89568	#E6F5D0
Djibouti	Africa	1967	127617	42.074	3020.050513	#FDDCAF
Sao Tome and Principe	Africa	1967	70787	54.425	1384.840593	#FEE0B6
China	Asia	1972	862030000	63.11888	676.9000921	#40004B
India	Asia	1972	5.67e+08	50.651	724.032527	#460552
United States	Americas	1972	209896000	71.34	21806.03594	#A50026
Indonesia	Asia	1972	121282000	49.203	1111.107907	#540F60
Japan	Asia	1972	107188273	73.42	14778.78636	#4D0A59
Brazil	Americas	1972	100840058	59.504	4985.711467	#AD0826
Germany	Europe	1972	78717088	71	18016.18027	#276419
Bangladesh	Asia	1972	70759295	45.252	630.2336265	#5B1567
Pakistan	Asia	1972	69325921	51.929	1049.938981	#611A6D
United Kingdom	Europe	1972	56079000	72.01	15895.11641	#2C6A1A
Mexico	Americas	1972	55984294	62.361	6809.40669	#B51026
Italy	Europe	1972	54365564	72.19	12269.27378	#31701B
Nigeria	Africa	1972	53740085	42.821	1698.388838	#7F3B08
France	Europe	1972	51732000	72.38	16107.19171	#36771C
Vietnam	Asia	1972	44655014	50.254	699.5016441	#681F75
Philippines	Asia	1972	40850141	58.065	1989.37407	#6F247B
Thailand	Asia	1972	39276153	60.405	1524.358936	#762A83
Turkey	Europe	1972	37492953	57.005	3450.69638	#468A1F
Egypt	Africa	1972	34807417	51.137	2024.008147	#833D07
Spain	Europe	1972	34513161	73.06	10638.75131	#3B7D1D
Korea, Rep.	Asia	1972	33505000	62.612	3030.87665	#7A3288
Poland	Europe	1972	33039545	70.85	8006.506993	#41831E
Ethiopia	Africa	1972	30770372	43.515	566.2439442	#873F07
Iran	Asia	1972	30614000	55.234	9613.818607	#834492
Myanmar	Asia	1972	28466390	53.07	357	#7E3B8C
Argentina	Americas	1972	24779799	67.065	9443.038526	#BE1826
South Africa	Africa	1972	23935810	53.696	7765.962636	#8B4107
Congo, Dem. Rep.	Africa	1972	23007669	45.989	904.8960685	#8F4407
Colombia	Americas	1972	22542890	61.623	3264.660041	#CE2726
Canada	Americas	1972	22284500	72.88	18970.57086	#C62026
Romania	Europe	1972	20662648	69.21	8011.414402	#4B9020
Morocco	Africa	1972	16660670	52.862	1930.194975	#934607
Taiwan	Asia	1972	15226039	69.39	4062.523897	#905EA1
Korea, Dem. Rep.	Asia	1972	14781241	63.983	3701.621503	#8B559B
Algeria	Africa	1972	14760787	54.518	4182.663766	#974807
Tanzania	Africa	1972	14706593	47.62	915.9850592	#9F4D06
Sudan	Africa	1972	14597019	45.083	1659.652775	#9B4A06
Peru	Americas	1972	13954700	55.448	5937.827283	#D73027
Netherlands	Europe	1972	13329874	73.75	18794.74567	#529624
Australia	Oceania	1972	13177000	71.93	16788.62948	#313695
Afghanistan	Asia	1972	13079460	36.088	739.9811058	#9467A5
Sri Lanka	Asia	1972	13016733	65.042	1213.39553	#9970AB
Nepal	Asia	1972	12412593	43.971	674.7881296	#874D96
Kenya	Africa	1972	12044785	53.559	1222.359968	#A34F06
Venezuela	Americas	1972	11515649	65.712	10505.25966	#E54E35
Malaysia	Asia	1972	11441462	63.01	2849.09478	#9E76AF
Hungary	Europe	1972	10394091	69.76	10168.65611	#599C28
Uganda	Africa	1972	10190285	51.016	950.735869	#AB5406
Iraq	Asia	1972	10061506	56.95	9576.037596	#A37DB3
Czech Republic	Europe	1972	9862158	70.29	13108.4536	#5FA12D
Mozambique	Africa	1972	9809596	40.328	724.9178037	#A75106
Chile	Americas	1972	9717524	63.441	5494.024437	#DB3A2B
Belgium	Europe	1972	9709100	71.44	16672.14356	#66A731
Ghana	Africa	1972	9354120	49.875	1178.223708	#AF5606
Portugal	Europe	1972	8970450	69.26	9022.247417	#6DAD35
Greece	Europe	1972	8888628	72.34	12724.82957	#74B33A
Cuba	Americas	1972	8831348	70.723	5305.445256	#E04430
Bulgaria	Europe	1972	8576200	70.9	6597.494398	#7BB93E
Serbia	Europe	1972	8313288	68.7	10522.06749	#92C858
Sweden	Europe	1972	8122293	74.72	17832.02464	#82BE45
Austria	Europe	1972	7544201	70.63	16661.6256	#8AC34F
Cambodia	Asia	1972	7450606	40.317	421.6240257	#AD8ABD
Yemen, Rep.	Asia	1972	7407075	39.848	1265.047031	#A883B8
Madagascar	Africa	1972	7082430	44.851	1748.562982	#B75C07
Cameroon	Africa	1972	7021028	47.049	1684.146528	#B35806
Syria	Asia	1972	6701172	57.296	2571.423014	#B797C6
Saudi Arabia	Asia	1972	6472756	53.886	24837.42865	#B291C1
Switzerland	Europe	1972	6401400	73.78	27195.11304	#9ACD62
Ecuador	Americas	1972	6298651	58.796	5280.99471	#EA5839
Cote d'Ivoire	Africa	1972	6071696	49.801	2378.201111	#D0730F
Angola	Africa	1972	5894858	37.928	5473.288005	#BE6209
Zimbabwe	Africa	1972	5861135	55.635	799.3621758	#CC6F0D
Mali	Africa	1972	5828158	39.977	581.3688761	#C2650A
Burkina Faso	Africa	1972	5433886	43.591	854.7359763	#BA5F08
Tunisia	Africa	1972	5303507	55.602	2753.285994	#C5690B
Guatemala	Americas	1972	5149581	53.738	4031.408271	#F46D43
Niger	Africa	1972	5060262	40.546	954.2092363	#C96C0C
Denmark	Europe	1972	4991596	73.47	18866.20721	#A2D26B
Malawi	Africa	1972	4730997	41.766	584.6219709	#D37610
Haiti	Americas	1972	4698301	48.042	1654.456946	#EF623E
Dominican Republic	Americas	1972	4671329	59.631	2189.874499	#F7824D
Finland	Europe	1972	4639657	70.87	14358.8759	#AAD875
Slovak Republic	Europe	1972	4593433	70.35	9674.167626	#B9E188
Senegal	Africa	1972	4588696	45.815	1597.712056	#D77911
Bolivia	Americas	1972	4565872	46.714	2980.331339	#F57748
Zambia	Africa	1972	4506497	50.107	1773.498265	#DE8013
Croatia	Europe	1972	4225310	69.61	9164.090127	#B2DD7E
Hong Kong, China	Asia	1972	4115700	72	8315.928145	#BC9ECA
Rwanda	Africa	1972	3992121	44.6	590.5806638	#E3881D
Norway	Europe	1972	3933004	74.34	18965.05551	#BFE492
Chad	Africa	1972	3899068	45.569	1104.103987	#DA7D12
Somalia	Africa	1972	3840161	40.973	1254.576127	#E58C23
Bosnia and Herzegovina	Europe	1972	3819000	67.45	2860.16975	#CCE9A7
Guinea	Africa	1972	3811387	38.842	741.6662307	#E18417
El Salvador	Americas	1972	3790903	58.207	4520.246008	#FBA35B
Burundi	Africa	1972	3529983	44.057	464.0995039	#E79029
Israel	Asia	1972	3095893	71.63	12786.93223	#C2A5CF
Ireland	Europe	1972	3024400	71.28	9530.772896	#C6E79C
Honduras	Americas	1972	2965146	53.884	2529.842345	#FDB668
New Zealand	Oceania	1972	2929100	71.89	16046.03728	#4575B4
Sierra Leone	Africa	1972	2879013	35.4	1353.759762	#EA952F
Puerto Rico	Americas	1972	2847132	72.16	9123.041742	#FA9856
Uruguay	Americas	1972	2829526	68.673	5703.408898	#F88D51
Benin	Africa	1972	2761407	47.014	1085.796879	#EC9936
Lebanon	Asia	1972	2680018	65.421	7486.384341	#C6AAD2
Paraguay	Americas	1972	2614104	65.815	2523.337977	#FDAE61
Albania	Europe	1972	2263554	67.69	3313.422188	#D9EFBB
Eritrea	Africa	1972	2260187	44.142	514.3242082	#EE9D3C
Libya	Africa	1972	2183877	52.773	21011.49721	#F7AE55
Nicaragua	Americas	1972	2182908	55.151	4688.593267	#FDC778
Singapore	Asia	1972	2152400	69.521	8597.756202	#CBB0D5
Togo	Africa	1972	2056351	49.759	1649.660188	#F3A548
Jamaica	Americas	1972	1997616	69	7433.889293	#FDBE70
Central African Republic	Africa	1972	1927260	43.457	1070.013275	#F1A142
Costa Rica	Americas	1972	1834796	67.849	5118.146939	#FDD788
